"","Club","Shot_Shape","Sex","Club_Path_Angle","CPA_LB","CPA_UB","Lie_Angle","LA_LB","LA_UB","Attack_Angle","AA_LB","AA_UB","Club_Speed","CS_LB","CS_UB","Shaft_Lean","SL_LB","SL_UB","Face_Angle","FA_LB","FA_UB","Data_Points"
"12","7 Iron","High Fade","Female",2.2,2.02082364367287,2.37917635632713,58.1775,57.8930247912365,58.4619752087635,-3.63333333333333,-3.77594659241771,-3.49072007424896,88.0730285134812,87.8627945360497,88.2832624909128,10.4476666666667,10.3287072482536,10.5666260850797,-0.500333333333333,-0.569856122612581,-0.430810544054086,6
"13","7 Iron","Medium Draw","Female",3.1,3.028751218334,3.171248781666,59.3105,59.0971100807468,59.5238899192532,-2.2,-2.30374916331657,-2.09625083668343,75.0715819613457,74.8183873237552,75.3247765989363,9.9825,9.9056083788858,10.0593916211142,2.0564,2.01702699299576,2.09577300700424,10
"14","7 Iron","Medium Straight","Female",2.8,2.58108934470885,3.01891065529115,57.8715,57.6218314215033,58.1211685784967,-3.9,-4.04636213649712,-3.75363786350289,84.0774874731567,83.508576524627,84.6463984216865,12.4301666666667,12.3210065819812,12.5393267513521,0.2445,0.176193329960574,0.312806670039426,6
"15","7 Iron","Medium Fade","Female",1.2,1.04604180762298,1.35395819237702,57.248,57.0184612496971,57.4775387503029,-1,-1.09842509842515,-0.901574901574852,76.9913206871868,76.6149588384913,77.3676825358823,10.2212,10.1628711337276,10.2795288662724,-0.8762,-0.936616157684638,-0.815783842315362,5
"16","7 Iron","Low Draw","Female",4.6,4.48385533446028,4.71614466553972,61.777,61.6030298269997,61.9509701730003,-1.33333333333333,-1.4044113421218,-1.26225532454487,72.4938857074684,72.4179406788314,72.5698307361053,11.059,11.036929534016,11.081070465984,2.02466666666667,1.9914933332182,2.05784000011514,3
"17","7 Iron","Low Straight","Female",2.8,2.77113248654052,2.82886751345948,61.646,61.588610488854,61.7033895111461,-1.26666666666667,-1.31718481522076,-1.21614851811257,71.354539489382,71.2884117844772,71.4206671942869,10.571,10.5298553903136,10.6121446096864,0.854,0.840842747959775,0.867157252040225,3
"18","7 Iron","Low Fade","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"19","8 Iron","High Draw","Male",3,2.90969701533661,3.09030298466339,55.597,55.3101310336285,55.8838689663715,-3.45714285714286,-3.56085017768164,-3.35343553660408,87.4138551268754,87.2427270159173,87.5849832378334,10.6112448979592,10.5519136976523,10.670576098266,1.72648979591837,1.69343144826824,1.7595481435685,49
"20","8 Iron","High Straight","Male",2.6,2.46072280509993,2.73927719490007,53.683,53.3890203238019,53.9769796761981,-3.42,-3.52969801204285,-3.31030198795715,86.9138108446671,86.8373593297091,86.9902623596252,10.812325,10.7214982722782,10.9031517277218,0.56145,0.520305413561574,0.602594586438426,40
"21","8 Iron","High Fade","Male",2,1.86540595734327,2.13459404265673,60.423,60.1110699989246,60.7349300010754,-2.58571428571429,-2.68516763360461,-2.48626093782396,89.0054581245526,88.6877528294803,89.323163419625,10.4267142857143,10.2693539836028,10.5840745878258,-0.258642857142857,-0.305662579932509,-0.211623134353206,14
"22","8 Iron","Medium Draw","Male",3.8,3.73068414683494,3.86931585316506,53.077,52.9020249754305,53.2519750245695,-4.84444444444444,-4.89956426342496,-4.78932462546393,85.0632307325221,84.9371042888412,85.189357176203,11.2277777777778,11.1687221335181,11.2868334220374,1.81155555555556,1.78518308990586,1.83792802120525,9
"23","8 Iron","Medium Straight","Male",2.1,2.03164888442754,2.16835111557246,57.3005,56.9922851103059,57.6087148896941,-3.76666666666667,-3.84860287152549,-3.68473046180785,84.0737592460033,83.9043486620976,84.243169829909,10.562,10.4761044602439,10.6478955397561,0.455666666666667,0.426584894382869,0.484748438950464,6
"24","8 Iron","Medium Fade","Male",1.6,1.57397917500667,1.62602082499333,56.242,55.8970940628682,56.5869059371318,-3.73333333333333,-3.94851252222792,-3.51815414443874,87.4694285373419,87.0416710306645,87.8971860440194,12.385,12.14982680086,12.62017319914,-0.261,-0.270033790732577,-0.251966209267423,3
"25","8 Iron","Low Draw","Male",2,1.92828368967476,2.07171631032524,61.3785,61.0370490251454,61.7199509748546,-5.4,-5.47569125885244,-5.32430874114756,80.4469398711524,79.9669640808193,80.9269156614856,13.61875,13.4646581427988,13.7728418572012,1.684,1.65390964128662,1.71409035871338,4
"26","8 Iron","Low Straight","Male",0,-0.14142135623731,0.14142135623731,62.975,62.9402633793742,63.0097366206258,-5.3,-5.41490485194281,-5.18509514805719,83.9936023622047,83.7024609835537,84.2847437408557,13.113,12.8793012088178,13.3466987911822,0.1,0.0592529717341252,0.140747028265875,2
"27","8 Iron","Low Fade","Male",-1.7,-1.79722718241315,-1.60277281758685,65.4865,65.3022544893271,65.6707455106729,-7.2,-7.35909902576697,-7.04090097423303,87.6957319255548,87.122049949218,88.2694139018915,19.34,19.2160795365971,19.4639204634029,-1.247,-1.27678687315748,-1.21721312684252,2
"28","8 Iron","High Draw","Female",1.1,1.00117433135015,1.19882566864986,58.6385,58.3336666631557,58.9433333368443,-3.24166666666667,-3.39451505628309,-3.08881827705025,86.1621256859938,85.9808807937673,86.3433705782202,9.42383333333333,9.31290473147081,9.53476193519586,1.203,1.16754740681366,1.23845259318634,12
"29","8 Iron","High Straight","Female",1,0.888216567800565,1.11178343219944,58.908,58.6473796249126,59.1686203750874,-3.76,-3.86817066541879,-3.65182933458121,89.4054223335719,89.056046652079,89.7547980150648,10.2164666666667,9.99456355619052,10.4383697771428,0.0612666666666667,0.0242995943654442,0.0982337389678891,15
"30","8 Iron","High Fade","Female",-0.2,-0.336735997288737,-0.0632640027112631,59.683,59.4424592604362,59.9235407395638,-2.1,-2.18334280249231,-2.01665719750769,87.6015941899308,87.3795763624088,87.8236120174528,10.7181666666667,10.5769855948047,10.8593477385286,-0.825083333333333,-0.872073226304375,-0.778093440362292,12
"31","8 Iron","Medium Draw","Female",4,3.90960157634118,4.09039842365882,62.603,62.4967151111203,62.7092848888797,-1.4,-1.45590169943749,-1.34409830056251,72.1419410641851,71.908781703458,72.3751004249123,9.85216666666667,9.70238103121206,10.0019523021213,1.98733333333333,1.9573959333683,2.01727073329837,6
"32","8 Iron","Medium Straight","Female",0.5,0.378493255788459,0.621506744211541,59.152,58.9296477976054,59.3743522023946,-1.24,-1.42519884208901,-1.05480115791099,73.2227541159628,72.8680982270532,73.5774100048723,9.3125,9.1393305255431,9.4856694744569,0.1618,0.126527932439393,0.197072067560607,10
"33","8 Iron","Medium Fade","Female",-0.1,-0.172886898685566,-0.0271131013144338,58.828,58.6131111354943,59.0428888645057,-0.1,-0.131374750995028,-0.0686252490049722,70.1667263183011,70.0542644064704,70.2791882301318,8.09233333333333,7.91619132001974,8.26847534664693,-1.0025,-1.01682675327403,-0.988173246725968,6
"34","8 Iron","Low Draw","Female",3.8,3.72330778117324,3.87669221882676,61.149,60.9642245820513,61.3337754179487,-2.925,-2.98941269700699,-2.86058730299301,69.2253489620615,69.115854267211,69.3348436569121,11.7815,11.7261011015775,11.8368988984225,2.1175,2.09391698742436,2.14108301257564,8
"35","8 Iron","Low Straight","Female",4,3.94161257918789,4.05838742081211,61.115,60.9606788316161,61.2693211683839,-2.96363636363636,-3.02301285883285,-2.90425986843988,69.2714095138934,69.1995214351356,69.3432975926513,11.9351818181818,11.8271203996715,12.0432432366921,0.699272727272727,0.674047800196069,0.724497654349386,11
"36","8 Iron","Low Fade","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"37","9 Iron","High Draw","Male",3,2.84666054257374,3.15333945742626,61.249,60.9757615055482,61.5222384944518,-4.23589743589744,-4.31181678990608,-4.15997808188879,86.4441087128095,86.1522221795105,86.7359952461086,11.3010256410256,11.2232337624339,11.3788175196174,1.55053846153846,1.50679873566271,1.59427818741422,39
"38","9 Iron","High Straight","Male",2.1,1.95525459304711,2.24474540695289,59.576,59.3151008419309,59.8368991580691,-4.07111111111111,-4.17444920149334,-3.96777302072889,85.4680416368409,85.229469849953,85.7066134237287,11.4023,11.3202774153453,11.4843225846547,0.3397,0.299120877838817,0.380279122161183,90
"39","9 Iron","High Fade","Male",-0.8,-0.909395100492188,-0.690604899507812,60.281,60.1152584697015,60.4467415302985,-3.43157894736842,-3.53815631541679,-3.32500157932005,86.5344676562559,86.3586129349377,86.7103223775741,11.0744736842105,10.9888867341074,11.1600606343137,-1.06205263157895,-1.09470167200909,-1.02940359114881,19
"40","9 Iron","Medium Draw","Male",4.2,4.1295660770651,4.2704339229349,61.443,61.2474660685772,61.6385339314228,-5.33333333333333,-5.44583333333333,-5.22083333333333,83.0012725682017,82.8252030489085,83.1773420874948,11.3392222222222,11.2849468215427,11.3934976229018,2.04244444444444,2.01907771564564,2.06581117324325,9
"41","9 Iron","Medium Straight","Male",3.9,3.71673894198544,4.08326105801456,57.221,57.0159004791875,57.4260995208125,-4.93076923076923,-5.01130977239985,-4.85022868913861,82.8514743130885,82.716707197886,82.986241428291,11.8035384615385,11.7491675357406,11.8579093873363,0.363192307692308,0.306828824890855,0.41955579049376,26
"42","9 Iron","Medium Fade","Male",-2.2,-2.31656032568507,-2.08343967431493,63.123,62.9738500792936,63.2721499207064,-5,-5.06574889099191,-4.93425110900809,84.7942657735965,84.6036621511415,84.9848693960514,12.7388571428571,12.663776583444,12.8139377022703,-1.26942857142857,-1.30346582998795,-1.23539131286919,7
"43","9 Iron","Low Draw","Male",0.8,0.698573236308866,0.901426763691134,60.554,60.3530910505453,60.7549089494547,-5.3,-5.3853040779464,-5.2146959220536,76.4881218682892,76.2762275115009,76.7000162250775,11.278875,11.2255432862301,11.3322067137699,1.4635,1.4312416954214,1.4957583045786,8
"44","9 Iron","Low Straight","Male",-1.1,-1.23151392546259,-0.96848607453741,60.945,60.773863855221,61.116136144779,-5.175,-5.24593250197869,-5.10406749802131,77.5137571581961,77.2652807717324,77.7622335446599,11.6793333333333,11.6209629517235,11.7377037149431,-0.00341666666666669,-0.0463846539787385,0.0395513206454051,24
"45","9 Iron","Low Fade","Male",2.4,2.21070305513999,2.58929694486001,53.059,52.6834715997064,53.4345284002936,-5.46666666666667,-5.51399090288167,-5.41934243045166,80.9905153901217,80.7337985868852,81.2472321933582,14.3956666666667,14.171790991998,14.6195423413353,-0.816333333333333,-0.873111215158771,-0.759555451507896,3
"46","9 Iron","High Draw","Female",2,1.85655116952625,2.14344883047375,61.8015,61.5876228984889,62.0153771015111,-2.675,-2.74569094582355,-2.60430905417645,83.431012884753,83.1673644565998,83.6946613129063,10.9495,10.744275381659,11.154724618341,1.18575,1.14375153130449,1.22774846869551,8
"47","9 Iron","High Straight","Female",2.4,2.25453509743313,2.54546490256687,60.5855,60.3117828599289,60.8592171400711,-3.8,-3.9051243851998,-3.6948756148002,84.3425644237652,84.0021460070767,84.6829828404537,10.8743333333333,10.7237425192824,11.0249241473842,0.450916666666667,0.410718476388282,0.491114856945051,12
"48","9 Iron","High Fade","Female",-0.8,-0.93501543121683,-0.66498456878317,61.205,60.9956710036325,61.4143289963675,-3.4,-3.5782437469684,-3.2217562530316,84.8511478678802,84.6723567423356,85.0299389934247,12.654,12.3844430163251,12.9235569836749,-1.26442857142857,-1.31559566464845,-1.2132614782087,7
"49","9 Iron","Medium Draw","Female",3,2.90301417629365,3.09698582370635,60.517,60.3290674749162,60.7049325250838,-1.8,-1.88052561704203,-1.71947438295797,73.5701503221188,73.0566707919448,74.0836298522928,11.2368,11.0390794773471,11.4345205226529,1.7462,1.71205719329053,1.78034280670947,5
"50","9 Iron","Medium Straight","Female",0.6,0.476759458804531,0.723240541195469,61.293,61.0586831551195,61.5273168448805,-1.81052631578947,-1.94576489639505,-1.6752877351839,73.0981332177975,72.6956945104473,73.5005719251477,9.26768421052632,9.10994169021611,9.42542673083652,0.0498421052631579,0.0317961056973553,0.0678881048289605,19
